period,form_label,mean_conformity,std_conformity,count
pre_joseon,lushi_generic,0.711864406779661,0.3243480175211506,59
mid_joseon,lushi_generic,0.7624113475177305,0.30154554655670174,423
late_joseon,lushi_generic,0.8242049469964664,0.30120228767288226,566
unknown,lushi_generic,0.8183646112600537,0.29341407355141735,746
early_joseon,qigushi,0.65625,0.3520771695712934,16
mid_joseon,qigushi,0.6866383881230117,0.34887085634356385,943
late_joseon,qigushi,0.6887755102040817,0.36142002445073634,294
final_joseon,qigushi,0.673202614379085,0.2886006473958965,153
unknown,qigushi,0.7324561403508771,0.3202586382979236,114
early_joseon,qijue,0.9026548672566371,0.23008933745983418,113
mid_joseon,qijue,0.9163911178625682,0.23456293667115352,11191
late_joseon,qijue,0.9228370196813496,0.22327325196462627,5335
final_joseon,qijue,0.9272341685649204,0.21422315532006883,2634
unknown,qijue,0.9349602981029811,0.20388075210847592,1476
early_joseon,qilu,0.9500740088105727,0.17304634880500455,227
mid_joseon,qilu,0.9180301813356923,0.22382027469921145,11305
late_joseon,qilu,0.9149015308525671,0.2204843267908986,4246
final_joseon,qilu,0.9281261619549592,0.2163788273779751,2087
unknown,qilu,0.9225874849578821,0.18512577399509503,1662
early_joseon,wugushi,0.7833333333333333,0.2520034664968654,30
mid_joseon,wugushi,0.8842943854324734,0.22989366294672348,1318
late_joseon,wugushi,0.8693467336683417,0.24876976050018682,995
final_joseon,wugushi,0.8661971830985915,0.23696719810117192,497
unknown,wugushi,0.8621212121212121,0.24330872199560408,330
early_joseon,wujue,0.93334,0.137999310557284,15
mid_joseon,wujue,0.9269614658103513,0.21695716441337443,2647
late_joseon,wujue,0.9322446866485015,0.20104854019774918,1835
final_joseon,wujue,0.9586439205955335,0.16261964358134254,806
unknown,wujue,0.931136043956044,0.20312241382361312,455
early_joseon,wulu,0.9406410958904109,0.15990837448524978,146
mid_joseon,wulu,0.9395400290909091,0.1848028072992517,6875
late_joseon,wulu,0.9364271985157699,0.18322398870170942,2695
final_joseon,wulu,0.9363484087102177,0.18725218334989144,1194
unknown,wulu,0.9272419275123559,0.17416115717726396,1214
mid_joseon,wupailü,0.9422700587084148,0.17459738971106664,511
late_joseon,wupailü,0.8983050847457628,0.2124271824347634,118
final_joseon,wupailü,0.9571428571428572,0.14201432049934526,35
unknown,wupailü,0.9104477611940298,0.21187069266790648,67
