period,form_label,count,avg_lines,avg_line_length,pct_uniform,pct_irregular
early_joseon,qigushi,16,35.0,6.8860625,43.75,56.25
early_joseon,qijue,113,6.371681415929204,6.997938053097346,82.3,17.7
early_joseon,qilu,227,16.09251101321586,6.980995594713656,91.19,8.81
early_joseon,wugushi,30,38.96666666666667,5.010033333333333,56.67,43.33
early_joseon,wujue,15,6.133333333333334,5.0278,80.0,20.0
early_joseon,wulu,146,13.027397260273972,4.995958904109589,86.3,13.7
final_joseon,qigushi,153,27.33986928104575,6.964856209150327,39.87,60.13
final_joseon,qijue,2634,5.814730447987851,6.986786256643888,87.62,12.38
final_joseon,qilu,2087,12.12937230474365,6.983756588404408,88.79,11.21
final_joseon,wugushi,497,31.64989939637827,5.034927565392354,74.85,25.15
final_joseon,wujue,806,4.903225806451613,5.012924317617866,92.68,7.32
final_joseon,wulu,1194,10.85427135678392,5.011952261306533,88.44,11.56
final_joseon,wupailü,35,31.771428571428572,4.993657142857143,91.43,8.57
late_joseon,lushi_generic,566,11.547703180212014,6.5055388692579506,82.69,17.31
late_joseon,qigushi,294,34.16326530612245,6.872591836734694,52.38,47.62
late_joseon,qijue,5335,6.525210871602624,7.001229615745079,87.44,12.56
late_joseon,qilu,4246,10.711964201601507,6.985762835609986,84.67,15.33
late_joseon,wugushi,995,31.349748743718592,5.0151427135678395,76.58,23.42
late_joseon,wujue,1835,6.610899182561308,5.0448059945504085,87.57,12.43
late_joseon,wulu,2695,10.611502782931355,5.019732096474954,87.12,12.88
late_joseon,wupailü,118,39.21186440677966,4.994864406779661,80.51,19.49
mid_joseon,lushi_generic,423,8.576832151300236,6.543884160756502,90.78,9.22
mid_joseon,qigushi,943,30.547189819724284,6.910549310710499,50.27,49.73
mid_joseon,qijue,11191,6.414350817621303,6.992439192208025,87.07,12.93
mid_joseon,qilu,11305,10.750287483414418,6.986293498452012,86.75,13.25
mid_joseon,wugushi,1318,33.625948406676784,5.017810318664644,78.53,21.47
mid_joseon,wujue,2647,7.174914998111069,5.038749527767283,88.48,11.52
mid_joseon,wulu,6875,10.698036363636364,5.012081454545454,88.79,11.21
mid_joseon,wupailü,511,33.74755381604697,5.008536203522505,89.43,10.57
pre_joseon,lushi_generic,59,8.11864406779661,6.6968305084745765,84.75,15.25
